Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,46.779999,47.110001,46.060001,46.900002,46.900002,6545800
2019-01-29,47.040001,47.259998,46.410000,46.880001,46.880001,4440500
2019-01-30,47.000000,47.139999,46.520000,46.750000,46.750000,5414300
2019-01-31,46.970001,48.099998,46.939999,48.060001,48.060001,8319600
2019-02-01,48.139999,48.240002,47.525002,47.759998,47.759998,4740200
2019-02-04,47.820000,47.980000,47.389999,47.730000,47.730000,6251500
2019-02-05,47.619999,48.160000,47.459999,48.139999,48.139999,6145700
2019-02-06,47.950001,48.070000,47.485001,47.689999,47.689999,5012400
2019-02-07,47.070000,47.693001,46.820000,47.230000,47.230000,9556900
2019-02-08,47.200001,47.480000,46.639999,47.459999,47.459999,5278600
2019-02-11,47.500000,47.750000,46.880001,47.330002,47.330002,5152500
2019-02-12,47.590000,48.470001,47.500000,48.110001,48.110001,5363900
2019-02-13,48.310001,48.419998,47.610001,47.639999,47.639999,6021400
2019-02-14,47.480000,47.660000,46.889999,47.340000,47.340000,4390000
2019-02-15,47.820000,48.090000,47.340000,47.619999,47.619999,5758800
2019-02-19,47.820000,48.380001,47.630001,47.770000,47.770000,7443900
2019-02-20,47.900002,48.500000,47.630001,48.259998,48.259998,7048900
2019-02-21,48.389999,48.660000,47.849998,48.180000,48.180000,10117900
2019-02-22,35.849998,36.000000,34.509998,34.950001,34.950001,135204800
2019-02-25,35.000000,35.419998,34.060001,34.230000,34.230000,47394300
2019-02-26,34.240002,34.509998,33.040001,33.119999,33.119999,36321700
